,SVR,Ridge,KNN,Linear Regression,Random Forest,XGboost,Stacked,Stacked 2nd Layer,Stacked 2nd and 1st Layer
0,0.022524487910580593,0.09367445375945205,0.13639272252766288,0.09541586013981618,0.4482766574442334,0.4521583519865975,0.5144855137895237,0.9719798760076612,0.9723576985092192
1,0.005839509618566274,0.08911500704840869,0.0841055699818598,0.11456264445049835,0.4119030553559664,0.4357997634105042,0.4801924526849427,0.9700448270176478,0.9699107201171172
2,0.013603354266384704,0.0756269079043016,0.12234465505862624,0.0830835335933372,0.45714324933223727,0.46488756962081346,0.5129946495145145,0.9745096489206366,0.9741821684785303
3,0.019587340731660574,0.10195993826775496,0.13321316572537234,0.10635528606265221,0.4605957420533222,0.4925397945636102,0.5341337510503693,0.9667191611975642,0.9669952196384173
4,0.01861513962269168,0.10171471631057616,0.08131722035051492,0.11473385466946096,0.4264379994301256,0.4323896464311623,0.4819009708100025,0.9766754756488245,0.97669493342009
5,0.016194424822086884,0.09978149294355942,0.086356172553548,0.11229724895505733,0.425992189162812,0.45154659618605,0.49376469166067294,0.9544103497050263,0.9544736372062423
6,0.017787047063947847,0.09843299559826357,0.0868870010293864,0.12739222163487351,0.43309808045494613,0.45233127257931616,0.49519174188159776,0.974447049384744,0.9745104121534894
7,0.014711725867915026,0.07959245757547329,0.06364434072186054,0.10238007595509235,0.4404782966301979,0.47089744470927974,0.507359600461302,0.9734252115436013,0.9736178238332651
8,0.02014887258508491,0.09043444520856636,0.06849468225673538,0.08770905736873458,0.4195525432048689,0.43250186938584634,0.47947727957157116,0.9648078352286189,0.9653400705564367
9,0.02065628396784014,0.10208174644072854,0.11972595666469077,0.13150954043247753,0.47617097095254723,0.48498310399746225,0.5461231268112163,0.9655597715255242,0.9655069689796375
