,SVR,Ridge,KNN,Linear Regression,Random Forest,XGboost,Stacked,Stacked 2nd Layer,Stacked 2nd and 1st Layer
0,8.13029529919682,7.828805210507284,7.642079009562724,7.82128049361833,6.108211355904426,6.086686018851283,5.729998033756163,1.363962620590064,1.3547355955021958
1,8.147784250563657,7.799074058001631,7.820490264741011,7.689359944065821,6.266654225598367,6.138014397108729,5.891590609129839,1.4067415954996436,1.409887013483604
2,7.918722659179771,7.6657206140672045,7.469496711321467,7.63473953576561,5.87451423877172,5.832461210289965,5.564116386235504,1.2660373019060427,1.274143885381414
3,8.104217553643123,7.756298085896505,7.620137164858374,7.737293675141431,6.011236585906475,5.8305245891302775,5.586467283266975,1.4994225275210853,1.4931908608431441
4,8.007071965550494,7.660571974304884,7.747058630766798,7.604855789050792,6.121308117070102,6.089465989532106,5.817822194929942,1.242707325407166,1.2421888719641265
5,8.120215785239994,7.767600823936224,7.825307147192479,7.713415273788387,6.202572247687479,6.062933414342734,5.824909025622974,1.7000610435134784,1.698880622292989
6,8.168230937981393,7.825717817147989,7.8756687612780025,7.699007086188266,6.205533767092035,6.09935836416761,5.855829252370014,1.2900211194970137,1.2884207163662715
7,8.003707076251187,7.735699894918928,7.802431210169465,7.639338788526977,6.031398131602205,5.865154516948916,5.659454079927183,1.3298576743271047,1.325029550189404
8,8.076685791562868,7.7816222043608985,7.874913801618736,7.793271763597514,6.216337649973888,6.146605738711721,5.8867146551936,1.5122447164139483,1.5007657913424508
9,8.202603182360818,7.854210414111925,7.776659425188713,7.724433838480225,5.999000701250572,5.948327479713174,5.584099637327469,1.5002109884811194,1.5013605833578467
